Method,I03.bmp,I04.bmp,I06.bmp,I08.bmp,I19.bmp
brisque,94.6421,-0.1076,0.9929,5.3583,72.2617
ckdn,0.2833,0.5767,0.6367,0.658,0.5999
cw_ssim,0.2763,0.9996,1.0,0.9068,0.8658
dists,0.4742,0.1424,0.06825,0.02867,0.3123
fsim,0.689,0.9702,0.9927,0.9575,0.822
gmsd,0.2203,0.0005,0.0004,0.1346,0.2050
lpips,0.7237,0.2572,0.05079,0.05205,0.4253
ms_ssim,0.6733,0.9996,0.9998,0.9566,0.8462
niqe,15.7536,3.6549,3.2355,3.1840,8.6352
nlpd,0.5616,0.0195,0.0159,0.3028,0.4326
psnr,21.11,20.99,27.01,23.3,21.62
ssim,0.6993,0.9978,0.9989,0.9669,0.6519
vif,0.0172,0.9891,0.9924,0.9103,0.1745
vsi(opt),0.9139,0.9620,0.9922,0.9571,0.9262
