Method,I03.bmp,I04.bmp,I06.bmp,I08.bmp,I19.bmp
brisque,94.6448,-0.1103,1.0772,5.1418,66.8405
ckdn,0.2833,0.5767,0.6367,0.658,0.5999
cw_ssim,0.2782,0.9995,1.0,0.9065,0.8646
dists,0.4742,0.1424,0.06825,0.02867,0.3123
fsim,0.6891,0.9702,0.9927,0.9575,0.822
gmsd,0.2203,0.0005,0.0004,0.1346,0.2050
lpips,0.7237,0.2572,0.05079,0.05205,0.4253
mad,194.9324,0.0,0.0,91.6206,181.9651
ms_ssim,0.6698,0.9993,0.9996,0.9567,0.8418
niqe,15.6530,3.6541,3.2343,3.2076,9.1060
nlpd,0.5616,0.0139,0.0110,0.3033,0.4335
psnr,21.11,20.99,27.01,23.3,21.62
ssim,0.6997,0.9978,0.9989,0.9671,0.6521
vif,0.0172,0.9891,0.9924,0.9103,0.1745
vsi,0.9244,0.9497,0.9877,0.9541,0.9348
